Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
41,0.0522577690552183,0.00170277801206787,0.00368721924726455,0.0200201163593892,0.000859225574790625,0.000103344628015504,0.00941863526467907,0.0453901970533204,0.00249405735215705,8.94512969828114e-05,0.000988570873443081,5.0238103225628e-06,1.2559525806407e-06,8.44274866602486e-05,0.00098731492086244,0.000859225571715869,0,5.00584641885017e-05,0.000128089348894543,3.03782314690192e-06,0.00373351597454272,5.00647921840496,0.00591542454718228,5.88207049092047
42,0.0523897892881529,0.00170424108248403,0.00374299704298978,0.021623681456122,0.000913252718625622,0.000156359972227121,0.00941052917406697,0.0457071990497092,0.00250376800936136,9.05237709400825e-05,0.00106567828797226,5.01961788320759e-06,1.2549044708019e-06,8.55041530568749e-05,0.00106442338350146,0.000913252710397403,0,4.89740456153725e-05,0.000151170672406421,1.22632585409214e-05,0.00300090949221425,6.36502688589761,0.00596245019977644,5.89218216524803
43,0.0525269884590752,0.0017057974852858,0.00384949158310534,0.0231780768968004,0.000962712280612689,0.000114468242397568,0.00935767914005217,0.0456453404684445,0.00249616866454198,9.23654513450218e-05,0.00113459241608186,4.99138150229783e-06,1.24784537557446e-06,8.73740698427239e-05,0.00113334457070629,0.000962712272445288,0,4.88655798578397e-05,0.000170632297557463,3.93585831561159e-06,0.0032235158306718,7.43671183314979,0.00594480016385132,5.90268188771486
44,0.0526597755908174,0.00170743967747312,0.00391186744320877,0.0246709083937927,0.00101241688473521,0,0.00936517043041635,0.0457816677396392,0.00250147051154685,9.37511300521166e-05,0.00120749459278955,4.9956484215718e-06,1.24891210539295e-06,8.87554816305448e-05,0.00120624568068416,0.00101241687514231,0,4.82588076289891e-05,0.000193828804701692,0,0.00224267110271926,8.14850050204937,0.00595270646901486,5.91283562615
45,0.0527820922778184,0.00170916831823227,0.00385758879937239,0.0261143529925619,0.00105256270450181,0.000134563448598847,0,0.0459455261954559,0,9.25682244710435e-05,0.00128078765836389,5.00979158618772e-06,1.25244789654693e-06,8.75584328848558e-05,0.00127953521046734,0.00105256269721652,0,4.54559256845554e-05,0.000226972512598201,6.31116404738138e-06,0,8.45188567109725,0.00596498081176612,5.92218149792444
46,0.0527882662176482,0.00171096732505975,0.00393643400251677,0.0250103536015242,0.00103499365931518,0,0,0.0462794531618441,0,9.5295664623763e-05,0.0012368182287499,5.04872424990208e-06,1.26218106247552e-06,9.02469403738609e-05,0.00123555604768743,0.0010349936580856,0,4.88471941778009e-05,0.000200562389493951,0,0,8.3261921423905,0.00600071946862364,5.92265304776182
47,0.05278217159317,0.00171273816539249,0.00388102662842011,0.0239281559659241,0.000999570248214977,8.93524384981532e-05,0.00947312104770741,0.0462440641841292,0.00252814175855135,9.41715951976654e-05,0.00118513259311472,5.05283596340523e-06,1.26320899085131e-06,8.91187592342602e-05,0.00118386938412387,0.000999570243710445,0,4.91359499727693e-05,0.000184299140021892,2.23093506117645e-06,0.00400392410561053,7.77998572219212,0.00600163478182493,5.92218755594113
48,0.0529145966138711,0.00171445016750559,0.00391655046794579,0.0254131164845822,0.00105012260109794,7.88993109889891e-05,0.00950900973638296,0.0462642925900843,0.00253258358956392,9.52082727420148e-05,0.00126223279201791,5.07186786946469e-06,1.26796696736617e-06,9.01364048725501e-05,0.00126096482505054,0.00105012259055766,0,4.81315023094429e-05,0.000210842233561058,1.77228964828966e-06,0.00512256870819798,6.85048947538984,0.00601095572891219,5.932297980158
49,0.0530460887565046,0.00171625055037495,0.00393944700010653,0.0268465384043484,0.00109179361484201,0,0.00949862896343721,0.0459481301325004,0.00252098899742327,9.54941217478196e-05,0.00133085732546789,5.06645658245072e-06,1.26661414561268e-06,9.04276651653689e-05,0.00132959071132227,0.00109179360663967,0,4.67559216676716e-05,0.00023779710394917,0,0.00388838414951074,5.63248008983065,0.00596119095107542,5.94232919080186
50,0.0531695137160352,0.00171812434176732,0.00388173214477889,0.0282213765906475,0.00112416865989425,0.000132799389059101,0.00949787099489542,0.0454189152418479,0.00250322112663597,9.39694145530665e-05,0.0013980981997087,5.06645658245072e-06,1.26661414561268e-06,8.89029579706158e-05,0.00139683158556309,0.00112416865426177,0,4.39362122796428e-05,0.000272662930792931,5.80490661127473e-06,0.00218958822518642,4.1504366863576,0.00588434289373439,5.95173775525461
