Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
48,0.0543914268635806,0.00171769885365937,0.00584801753829218,0.0486497956105492,0.00124264518079497,0.000126068005207945,0.00645840190614473,0.0316238554539663,0.00172678169399406,9.34902026285492e-05,0.00161594883098774,3.44585880901717e-06,8.61464702254292e-07,9.00443438195321e-05,0.00161508736628549,0.00124264517798887,0,4.03385368960758e-05,0.000372442188055623,0.0001,0.001,6,0.00400162013601615,6.04451028795769
49,0.0544846322132472,0.00171983334386192,0.00590963301326688,0.0490353720087435,0.00125330418765961,0.000126069513437874,0.00645847917202223,0.0316317152686149,0.00172704950027118,9.44134549030981e-05,0.00162825366113768,3.44590003396855e-06,8.61475008492139e-07,9.09675548691295e-05,0.00162739218612919,0.0012533041849395,0,4.08353876623785e-05,0.000374088000955796,0.0001,0.001,6.0681483,0.00400072450968821,6.0515593443815
50,0.0545779120725911,0.00172198881819386,0.00597063435289474,0.0494093908116552,0.00126372328490853,0.000126071021674471,0.00645855643824133,0.031653124567634,0.00172776470217345,9.53270463494819e-05,0.00164017878377697,3.4459412591022e-06,8.61485314775551e-07,9.18811050903797e-05,0.00163931729846219,0.00126372328227032,0,4.13321739853934e-05,0.000375594015964736,0.0001,0.001,6.2679492,0.00400159269520485,6.05861018246101
51,0.0546712922780034,0.00172416493555977,0.00603103205514916,0.0497725715467581,0.00127391321621557,0.000126072413898787,0.00645862776120837,0.0316843556255385,0.00172880308661021,9.623104677152e-05,0.00165174658012781,3.44597931323352e-06,8.6149482830838e-07,9.27850674582865e-05,0.0016508850852995,0.00127391321365551,0,4.18285390931306e-05,0.00037697187142331,0.0001,0.001,6.5857864,0.00400374824912321,6.06566475298155
52,0.0547647921984058,0.00172636137205811,0.00609083609601777,0.0501254968008231,0.00128388729064455,0.00012607403816767,0.0064587109717044,0.0317208781823454,0.00173001655373146,9.71258806712572e-05,0.00166298101391748,3.44602370991631e-06,8.61505927479077e-07,9.36798569613409e-05,0.00166211950799001,0.00128388728815748,0,4.23243656116822e-05,0.000378232219617858,0.0001,0.001,7,0.00400661455034199,6.07272451427611
53,0.0548584235002394,0.00172857782548276,0.00615005623551162,0.0504685858500133,0.00129364925780245,0.000126075546424271,0.00645878823894831,0.0317583619578917,0.00173126016515176,9.8011449772404e-05,0.00167389158963576,3.44606493559674e-06,8.61516233899186e-07,9.45653848368072e-05,0.00167303007340186,0.00129364925538789,0,4.28194147935157e-05,0.000379380817805288,0.0001,0.001,7.4823619,0.00400964181915875,6.0797903403937
54,0.0549521902754038,0.00173081399890375,0.00620870178979314,0.0508021085129268,0.00130320640779889,0.000126077170708066,0.00645887145020831,0.0317936912311041,0.00173243253576022,9.88881056900917e-05,0.00168449056718054,3.44610933268714e-06,8.61527333171785e-07,9.54419963574046e-05,0.00168362903984737,0.00130320640545447,0,4.33137403071737e-05,0.000380422634190016,0.0001,0.001,8,0.00401243509007349,6.08686253233722
55,0.0550460913069078,0.00173306960679783,0.006266782001131,0.0511262252189338,0.0013125607610865,0.000126078794999593,0.0064589546618644,0.0318248404072407,0.00173346654843433,9.97559384335553e-05,0.00169478203822285,3.44615372998888e-06,8.6153843249722e-07,9.63097847035665e-05,0.00169392049979035,0.00131256075881233,0,4.38073545147071e-05,0.000381359740780958,0.0001,0.001,8.5176381,0.00401473814780169,6.09394099036657
56,0.0551401218306782,0.00173534436595994,0.0063243059446073,0.0514410272187633,0.00132171440957192,0.000126080419298851,0.00645903787391656,0.0318507573604346,0.00173432786979528,0.000100615129975295,0.00170476936784983,3.44619812750194e-06,8.61549531875484e-07,9.71689318477932e-05,0.00170390781831795,0.00132171440736796,0,4.43003557123677e-05,0.000382193410758767,0.0001,0.001,9,0.00401641831597595,6.10102534779022
57,0.0552342752394899,0.001737637995614,0.00638128262777446,0.0517465694434734,0.00133067007170238,0.000126082159628064,0.00645912703012623,0.0318710416611413,0.00173500424388061,0.000101465956918427,0.0017144563093118,3.44624569650041e-06,8.61561424125103e-07,9.80197112219265e-05,0.00171359474788768,0.00133067006956817,0,4.47929085941533e-05,0.000382924678134091,0.0001,0.001,9.4142136,0.00401742550517065,6.10811509996318
